p,mae,wasserstein
0.001,19.599180221557617,10.211325645446776
0.01,19.541418075561523,10.18579387664795
0.02,19.525815963745117,10.183704376220703
0.05,19.5587100982666,10.235565185546877
0.1,19.692407608032227,10.367022514343262
0.2,20.044662475585938,10.658967971801758
0.3,20.460004806518555,10.98304843902588
0.4,20.961578369140625,11.567727088928224
0.5,21.551340103149418,12.091235160827637
0.6,22.226110458374023,12.795445442199709
0.7,22.982038497924805,13.5917329788208
0.8,23.853832244873047,14.842744827270508
0.9,24.86266326904297,16.080549240112305
